"gene_name"	"9bc8ff9e-2f36-5094-ac12-b1bf81b53c15"	"396932ab-c4b3-4526-9201-9222f5f062a5"	"53891f08-a221-4ca8-a502-cf990bdb6020"	"Quant.seq.sample2"	"Quant.seq.sample1"	"RNA.seq.sample2"	"RNA.seq.sample1"
"ZNF362"	"59.9899"	"53.082"	"36.1803"	0.464024395043335	0.304875707352827	2.88325532422512	2.68786792123537
"ZNF365"	"0.8809"	"0.84"	"0.0502"	0.459592913324684	0.416916541024148	0.87250823883036	0.949936245021146
"ZNF366"	"0.5319"	"1.6294"	"0.1944"	0.0487075663765053	0.0893544320883501	0.00830446852843021	0.0296846238918941
"ZNF367"	"7.3713"	"9.4595"	"41.4834"	3.89407446453215	3.74635225447211	3.36974469413616	3.22394670622347
"ZNF37A"	"2.9351"	"10.1971"	"18.9046"	3.92039389947141	3.53502817982694	2.68365309889786	3.51552843434577
"ZNF382"	"1.8298"	"0.8727"	"1.0674"	0.0662370832881217	0.232469282087988	1.43586481007597	1.47095916224277
"ZNF383"	"1.8689"	"5.1615"	"9.5888"	0.894851266383542	0.940741803864121	2.02010258931797	1.92352621100728
"ZNF384"	"23.1926"	"28.8878"	"26.1075"	2.59241619837989	2.22977540118254	4.60372280406118	4.29153788762564
"ZNF385A"	"31.7332"	"44.9066"	"13.123"	1.54369684286228	1.29499939089408	2.87105450251981	2.73900298291723
"ZNF385B"	"2.0488"	"3.4137"	"0.0"	0.468327160596149	0.178010608398269	0.0209480903436041	0.0497272342370489
"ZNF385C"	"1.9838"	"26.0104"	"0.2875"	0.292353780585395	0.177116962856	0.906813475083889	0.836934959080504
"ZNF385D"	"0.4174"	"0.1502"	"0.0465"	0.08521122295141	0.0912805585936946	0.00581540485607821	0.00784783516196168
"ZNF391"	"2.6756"	"8.6677"	"0.1546"	0.848845458735809	0.58193448993708	1.45420381591193	1.61407992077518
"ZNF394"	"7.4085"	"9.101"	"86.1345"	2.88621480832098	2.66579865958881	3.67607142179448	3.52014245255769
"ZNF395"	"24.5557"	"23.3108"	"48.1007"	2.5915050158665	2.69959616527125	3.2452583135441	3.28305351158952
"ZNF396"	"0.3881"	"2.8335"	"0.5326"	0.275002925189233	0.573798181325325	0.857580075386159	0.723843164749101
"ZNF397"	"6.1569"	"14.7616"	"10.0899"	2.99577774544542	2.66358053578192	1.71309352690251	1.84710327709226
"ZNF398"	"8.8859"	"21.0831"	"9.9183"	0.946831646395669	0.925824927246128	2.49606893860181	2.31520328688228
"ZNF404"	"3.5633"	"2.9673"	"0.9051"	2.95891694835091	2.88269624649757	0.432410337659297	0.42002148258094
"ZNF407"	"3.054"	"7.3583"	"7.4281"	0.560944955635556	0.42084090896889	1.37055205841532	1.85394418211228
"ZNF408"	"53.9705"	"26.6908"	"17.0791"	3.65791573480688	4.16461085318473	3.72412348396856	3.76686551905224
"ZNF41"	"4.1649"	"13.5631"	"6.8212"	0.882809801653722	0.589543916361165	2.77562028202285	2.61214225963194
"ZNF414"	"36.4941"	"20.347"	"18.4053"	4.29931289411356	4.22322513977928	2.93397758049121	3.00180914459047
"ZNF415"	"6.4039"	"7.7654"	"0.2307"	0.949429687689384	0.69489765878571	1.18406883695705	1.33151115689054
"ZNF416"	"4.6356"	"11.3681"	"6.6558"	1.89985314742433	2.17948647062907	2.89658220934732	2.87574427787628
"ZNF418"	"4.7452"	"8.6118"	"6.5423"	0.220826976007603	0.206499169286029	0.445186753999483	0.597608739811387
"ZNF420"	"1.6719"	"8.325"	"2.4134"	0.996025699459529	1.0959018723287	0.872917988836837	0.798096588560046
"ZNF423"	"25.1243"	"2.504"	"18.7924"	0.112959704479976	0.112882339140872	0.0227439427825707	0.0111542590061159
"ZNF425"	"3.4813"	"4.062"	"1.4953"	0.605576751850334	0.570724860347723	0.956543282216796	1.08865928871125
"ZNF426"	"6.4737"	"17.0609"	"12.5773"	2.37893055948048	2.50862100723494	2.12346986603747	2.1880614292762
"ZNF428"	"80.5807"	"47.9606"	"16.5213"	7.48218916939828	6.94022741272401	3.02218897690179	3.08451400095942
"ZNF429"	"2.1008"	"4.6747"	"3.6357"	0.711491314801312	0.821752349920833	0.941436853218895	0.970272729972682
"ZNF43"	"6.2168"	"13.175"	"37.7796"	0.0667666932462079	0.0314436606316254	1.52705503855982	1.2811112649998
"ZNF430"	"1.4968"	"1.4186"	"26.7117"	1.60413626019285	1.95363409178889	2.7381048527787	2.66630431391692
"ZNF432"	"11.4894"	"9.3302"	"15.8758"	0.745915538478075	0.801535748280121	1.81224061686906	1.80576805071175
"ZNF433"	"2.0435"	"2.2047"	"43.6476"	0.456545027349767	0.069669234361802	0.0423656301716535	0.0344224565989711
"ZNF436"	"15.8857"	"27.3593"	"4.3721"	1.69407386537802	1.62294129133812	4.0948103614303	3.87486991149593
"ZNF438"	"7.3934"	"13.1218"	"6.1298"	0.793680563113805	0.844255254740897	1.23751610498668	1.37750233494172
"ZNF439"	"4.1454"	"9.3684"	"50.519"	1.16612916647973	0.800714873185585	0.0255623424974556	0.0613667419271982
"ZNF44"	"4.0057"	"5.3801"	"21.029"	1.0908446403932	0.983511361553928	2.11683941160276	1.95015141364409
"ZNF440"	"2.9658"	"17.4405"	"12.5073"	1.1560676659827	1.19662893485229	2.42815860893496	2.31072271848889
"ZNF441"	"1.4356"	"3.1157"	"7.1877"	0.726122655769652	1.06732699592357	1.88108811918237	2.15241796061655
"ZNF442"	"0.4107"	"0.5323"	"1.9072"	0.345151112276817	0.758326693063806	0.115440727487935	0.180089778482315
"ZNF444"	"20.5903"	"16.4439"	"10.1831"	3.04021449327638	3.09275160729738	3.36433503887801	3.26935580259143
"ZNF445"	"7.8987"	"4.6156"	"7.6633"	3.04471823283805	2.52912391840342	4.2247509757495	4.01061530378897
"ZNF446"	"5.6268"	"4.114"	"2.4294"	3.10249011605177	2.41218802580965	3.28263369034465	3.21332974312605
"ZNF449"	"0.9066"	"3.9773"	"2.0718"	1.36875310938681	1.01383813784577	1.51717217298962	1.90859695916473
"ZNF45"	"7.0277"	"15.8142"	"8.3468"	2.82117634190655	2.70204590809491	2.80478255743367	2.74665379963101
"ZNF451"	"3.86"	"8.4423"	"66.2367"	3.37068623735819	3.2144601190292	3.20246980838873	3.69533519540504
"ZNF454"	"4.4647"	"0.5452"	"1.0294"	0.122371215122984	0.0582186773466698	0.0353475907141303	0.0475327626640208
"ZNF460"	"3.2512"	"2.069"	"44.8758"	1.10905237132322	0.82286200080319	4.77067710835558	4.60831448918225
"ZNF461"	"4.6639"	"5.2322"	"13.6855"	1.01222276303089	1.56681283352921	2.16171238308528	1.8795271119708
"ZNF462"	"12.983"	"19.2138"	"0.0613"	2.28518371157528	2.25196806651538	2.03249872969502	2.26447832460368
"ZNF467"	"17.5209"	"8.5463"	"2.8038"	3.42402168054301	3.21303665298643	2.2171637854124	2.11985662346462
"ZNF469"	"27.0531"	"4.6835"	"0.9314"	2.28335298536275	1.80878849809213	4.88999059519861	4.74063718190653
"ZNF470"	"1.7803"	"4.1829"	"1.2365"	1.26882999929574	1.35297320234297	0.680516527327074	0.794858763078353
"ZNF471"	"5.6618"	"4.097"	"0.2022"	1.29151189951552	0.982172506077268	0.362190071959823	0.303637756703297
"ZNF473"	"7.3859"	"11.2457"	"2.1487"	1.90407880585885	1.82852134133986	3.30954575537745	3.04375418374287
"ZNF474"	"1.0488"	"0.7866"	"0.1196"	0.236818604828976	0.221530830238241	0.107655945818085	0.237415124736175
"ZNF48"	"28.5435"	"13.8209"	"3.8776"	3.45988135262575	2.96403219262596	3.31914805166474	3.1539458177808
"ZNF480"	"2.3994"	"18.4496"	"14.9647"	3.02708844213121	2.43607496385754	2.04078685811227	2.1063982130969
"ZNF483"	"0.8466"	"3.2641"	"0.3352"	0.302490669508524	0.135731468833801	1.01579941709302	1.33055370875117
"ZNF484"	"0.6089"	"3.8661"	"20.3417"	0.785320396945203	0.849046663945289	2.39412525709433	2.41528736277562
"ZNF485"	"0.9889"	"8.4762"	"0.783"	2.39943121249703	1.78290440450631	2.45613727226056	2.49773994984985
"ZNF486"	"2.5564"	"1.3805"	"5.8297"	0.0938021066005512	0.0874647126916616	0.0162024552273817	0.00731602202301912
"ZNF487"	"2.7394"	"2.8716"	"7.8568"	0.944273093062665	0.895199592613643	1.34808583430556	1.09173503176089
"ZNF488"	"1.3919"	"6.8572"	"0.0"	2.39758539260509	2.05118350249838	1.35640571191258	1.3085493707094
"ZNF490"	"1.351"	"3.1086"	"10.9294"	0.499329846521991	0.202334762429184	1.42911504234065	1.25413251670864
"ZNF492"	"0.5557"	"1.1246"	"2.64"	0.416892273993314	0.284755495211904	0.0321446888051706	0.00729763973435179
"ZNF496"	"31.9485"	"31.7316"	"29.2248"	3.66086059173635	3.26806024615687	4.64936587110246	4.42581483786578
"ZNF500"	"10.6685"	"7.7578"	"4.0856"	0.708381961650053	1.01349375165768	3.09393910987533	2.96584171974103
"ZNF501"	"2.0115"	"4.5378"	"0.6052"	2.45320372447345	2.51599348404983	0.159710553646362	0.371380261685039
"ZNF502"	"7.6095"	"8.1959"	"0.3425"	1.43164899971317	1.99019103367737	2.31088185309147	2.28813227125759
"ZNF503-AS1"	"0.2319"	"0.1331"	"0.0472"	0.0154634432879015	0.056726503176339	0.0138726329128259	0.00704199298826073
"ZNF503-AS2"	"3.7587"	"4.5025"	"0.0744"	0.879756821436905	1.9985669195424	1.77226422450528	1.71734261886105
"ZNF507"	"2.5582"	"12.6795"	"5.6519"	2.59586216283424	2.46499432839582	3.31464882786798	3.60996877634702
"ZNF510"	"4.5311"	"11.2116"	"9.9288"	1.70405675303144	2.01245117923506	2.90828629643365	3.23503965133877
"ZNF511"	"9.2009"	"7.281"	"8.5428"	3.91655439573653	3.95083502036376	0.180858187434395	0.148240947799948
"ZNF512B"	"69.6984"	"19.8937"	"12.8466"	0.768861757145287	0.893874864927889	2.73112913128832	2.64345894646922
"ZNF513"	"33.444"	"31.9804"	"18.236"	3.29096213720364	3.63083524191244	4.43615410435054	4.55265557475617
"ZNF514"	"5.2244"	"9.0347"	"8.9591"	1.60352269600107	1.7956404269555	3.28784288327451	3.14344824432785
"ZNF516"	"13.8796"	"25.3304"	"1.0643"	1.24684392982553	1.29809313624964	3.60128573176421	3.35688258975309
"ZNF517"	"21.7815"	"11.0687"	"2.5811"	1.71017981796888	1.18160602239097	1.79707285786927	1.69693533133494
"ZNF518A"	"1.2517"	"6.134"	"16.1708"	2.81695582039459	2.4479906399646	1.33121734682543	1.94263982787743
"ZNF518B"	"2.7142"	"24.9237"	"7.9307"	4.51830380020763	4.05731069298137	0.0305785772525776	0.0138451347634728
"ZNF519"	"1.0075"	"2.0313"	"1.6726"	2.75120783105275	2.40452678625366	1.85805018607232	2.2203569795023
"ZNF521"	"25.0025"	"38.7155"	"0.2201"	0.562963011880581	0.558479216201795	1.37521706209983	1.79284341126378
"ZNF524"	"35.6593"	"37.8809"	"3.5438"	4.7446106704269	4.4380563636837	3.86978857762975	3.8803037389723
"ZNF525"	"0.8869"	"10.5306"	"7.4457"	1.93439398581681	1.93418333474293	0.777529981978154	0.863021731758682
"ZNF526"	"7.582"	"14.3987"	"3.6217"	4.03170139484219	3.90921237863673	4.56422384172456	4.48866338245778
"ZNF527"	"2.6613"	"2.9459"	"4.6446"	1.24539922404944	0.924098392301836	1.87978427475936	1.78396333268122
"ZNF528"	"12.8165"	"1.9922"	"9.6224"	1.56362571074127	1.57115004508869	2.47060150835844	2.55092031859916
